Name,Country,Type,Style,Grape,Fullness,Long Description,Price,Awards,ABV,Volume,ID,Year
"Bread & Butter Chardonnay 2017, California",USA,White,Rich ,Chardonnay,OFF DRY,"Complex and layered, with distinctive notes of vanilla bean, almond husk and tropical fruit - it's reminiscent of a decadent crème brûlée! Californian Chardonnay at it's very best. This Chardonnay opens delicately with rich notes of vanilla bean and almond husk, which reminds us of a decadent crème brûlée. The creamy custard notes are balanced by a soft minerality and a hint of worn leather Any seafood dish that features butter or brown butter sauce... baked chicken, creamy pastas or soups, squash and winter vegetables... You're staying for dinner, right?",15.99,,13.5,75.0,0,2017
"Nero Oro Appassimento 2018, Sicily",Italy,Red,Big ,Nero d'Avola,FULL,"Nero Oro is made by a winemaker who's scored a perfect 100 Parker Points. It's little surprise, then, that TV chef James Martin called it ""absolutely fantastic"". It's rich, sweet-spice-packed and luxuriously indulgent. It's an Amarone double without the eye-watering price tag.",9.99,"IWC 2019 - Commended Award, Decanter 2019 - Bronze Award",14.0,75.0,1,2018
"Jaboulet Viognier 2018, France",France,White,Fruity ,Viognier,DRY,"When this was a WIGIG (when it's gone, it's gone!), 4,000 bottles sold out in less than a week. It's since become one of our best-rated Viogniers ever. Brimming with perfumed aromas of peach, pear and citrus all balanced by a salty minerality, it's a Condrieu double at the snip of the price.",11.99,,12.5,75.0,2,2018
"Dawn Star Sauvignon Blanc 2018, Marlborough",New Zealand,White,Fruity ,Sauvignon Blanc,DRY,"New Zealand's vines are the very first to greet the new day's grape-plumping sun. It's this headstart that's the secret to Kiwi Sauvignon's punchy flavour. You'll taste it in Dawn Star's notes of guava, passion fruit and that all-important soaking of gooseberry.",9.99,,13.0,75.0,3,2018
"Definition Zinfandel 2017, Lodi",USA,Red,Big ,Zinfandel,FULL,"The Definition range captures the quintessential qualities of the world's greatest wine styles. How do you capture the essence of Zinfandel? We went to the heart of Zin', Lodi, and a three-time 'US Wine Producer of the Year'. We sold 9,000 bottles in the first week. It's big, bold and bursting with ripe blackberries and sweet spices.",9.99,"IWC 2019 - Bronze Award, IWC 2018 - Commended Award",14.0,75.0,4,2017
Sancerre Rose Les Tuilieres,France,Rose,,Pinot Noir,DRY,Pale pink with aromas of ripe fruit intertwined with soft floral tones. The palate is delicately fruity with flavours of redcurrants and strawberries lifted by zesty notes.,16.99,,13.0,75.0,8,Unknown
Mâcon-Fuissé Vieilles Vignes 2016 Christophe Cordier,France,White,Rich ,Chardonnay,DRY,"Taken from vineyards in Macon-Vergisson, La Roche or Saint-Sera (from declassified Pouilly-Fuisse fruit), this wine is a great-value alternative to some of the more expensive Cordier wines, made from the 'Christophe Cordier' negociant arm. A medley of ripe apple and zesty lemon fruit characters creates great depth and intensity, with some body coming from careful use of oak. Slight mineral in the form of slate is detectable on the palate. Excellent as an apéritif or with any kind of salad or white meat, this wine is best enjoyed over the next couple of years.",16.99,,13.5,75.0,9,2016
Castaway Island Marlborough Sauvignon Blanc 2018,New Zealand,White,Fruity ,Sauvignon Blanc,DRY,"Teeming with gooseberry, fresh-cut grass and citrus, Castaway Island cuts no corners. It's unashamedly Marlborough, showing that you can still sip delicious Kiwi Sauvignon at a pocket-friendly price.",8.99,IWC 2019 - Commended Award,12.5,75.0,10,2018
Beefsteak Club Malbec 2017 Mendoza,Argentina,Red,Big ,Malbec,MEDIUM,"Mendoza's high altitudes and splendid sun make it a haven for bolshy, full-bodied reds with balancing acidity. Mendoza Malbec's popularity is thriving. And its prices are skyrocketing to match. Beefsteak Club is damson-and-mocha-stuffed proof that you can still grab it at a pocket-friendly sum.",9.99,"IWC 2019 - Silver Award, IWC 2017 - Commended Award",13.0,75.0,11,2017
Las Maletas Malbec 2018/19 Mendoza,Argentina,Red,Big ,Malbec,FULL,"Mendoza Malbec prices are booming with its worldwide popularity. So spanned the lofty-region to bring your black-fruit flavour at a bargain. It's chock full with complexity, soothing vanilla notes and balancing acidity.",8.99,,13.0,75.0,16,2018
Pinot Grigio Superiore 2018 Breganze,Italy,White,Crisp ,Pinot Grigio,DRY,"Breganze is nestled in the north of Italy. Laying in the shadows of the Alps, the grapes here ripen delicately over a generously long period. It's the ideal spot to craft the subtle Pinot Grigio in. With crisp apple, pear, citrus and a zippy acidity, it's no surprise this was the top Pinot Grigio of 2018.",8.99,,12.5,75.0,17,2018
Rioja Gran Reserva 2011 Viña Alarde,Spain,Red,Smooth ,Rioja,MEDIUM,"Founded in 1877 the Bodega in Cenicero in the Rioja Alta is now a modern winery, with cellaring facilities housing over 50,000 barrels, and this is where Berberana Gran Reserva is matured for a minimum 3 years in American oak cask and a further 3 years in bottle. Ruby red colour with tawny hues. Subtle aromas of ripe dark cherries and strawberries. Smooth and full-bodied palate, with luscious fruit laced with vanilla, cloves and dried fruits. Roast meats, pastas, tomato dishes, barbecues and game.",11.99,,14.0,75.0,19,2011
